__UUID4__;db0c0e01-a78f-4b9a-a535-142c254cdd0c
__CREATED-ON__;2021-02-19 18:25:46.931292
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
TRANSITION;2021-02-19 18:26:15.133876;7.299;;inter_trial;
EVENT;2021-02-19 18:26:16.633986;8.799000000000001;;158;Tup
TRANSITION;2021-02-19 18:26:16.633986;8.799000000000001;;end_state_signal;
EVENT;2021-02-19 18:26:16.634987;8.799100000000001;;158;Tup
TRANSITION;2021-02-19 18:26:16.634987;8.799100000000001;;end_state;
SOFTCODE;2021-02-19 18:26:16.634987;;;6;
EVENT;2021-02-19 18:26:16.634987;8.7992;;158;Tup
END-TRIAL;2021-02-19 18:26:16.635988;;;The trial ended;
INFO;2021-02-19 18:26:16.635988;20.778112;29.577315;TRIAL-BPOD-TIME;8.799202999999999
STATE;2021-02-19 18:26:16.635988;0;2.0;start;2.0
STATE;2021-02-19 18:26:16.635988;2.0;2.0001;sync_state_1;0.00010000000000021103
STATE;2021-02-19 18:26:16.635988;2.0001;2.0002;reset_rotary_encoder_wheel_stopping_check;9.999999999976694e-05
STATE;2021-02-19 18:26:16.635988;2.0002;3.0002;wheel_stopping_check;1.0
STATE;2021-02-19 18:26:16.635988;3.0002;3.0003;present_stim;0.00010000000000021103
STATE;2021-02-19 18:26:16.635988;3.0003;3.0004;sync_state_2;9.999999999976694e-05
STATE;2021-02-19 18:26:16.635988;3.0004;3.0005;reset_rotary_encoder_open_loop;0.00010000000000021103
STATE;2021-02-19 18:26:16.635988;3.0005;4.298900000000001;open_loop;1.2984000000000004
STATE;2021-02-19 18:26:16.635988;4.298900000000001;6.298900000000001;stop_open_loop_reward_right;2.0
STATE;2021-02-19 18:26:16.635988;6.298900000000001;6.299;check_reward_right;9.999999999976694e-05
STATE;2021-02-19 18:26:16.635988;6.299;6.799;big_reward_right;0.5
STATE;2021-02-19 18:26:16.635988;6.799;7.299;reward_right_waiting;0.5
STATE;2021-02-19 18:26:16.636988;7.299;8.799000000000001;inter_trial;1.5000000000000009
STATE;2021-02-19 18:26:16.636988;8.799000000000001;8.799100000000001;end_state_signal;9.999999999976694e-05
STATE;2021-02-19 18:26:16.636988;8.799100000000001;8.7992;end_state;9.999999999976694e-05
STATE;2021-02-19 18:26:16.636988;nan;nan;wheel_stopping_check_failed_punish;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;wheel_stopping_check_failed_reset;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;stop_open_loop_fail;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;sync_state_3;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;open_loop_fail_punish;nan
STATE;2021-02-19 18:26:16.636988;nan;nan;stop_open_loop_reward_left;nan
